lexeme               line  tokenName       valueIfNumber   parentNodeSymbol     isLeaf NodeSymbol          
-------------------- ----- --------------- --------------- -------------------- ----- --------------------
;                    37    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    37    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
d5cb34567            37    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    37    TK_OP           ----            ioStmt               yes                       
read                 37    TK_READ         ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            stmts                no    otherStmts          
;                    36    TK_SEM          ----            assignmentStmt       yes                       
----                 0                     ----            stmt                 no    assignmentStmt      
----                 0     EPSILON         ----            expPrime             yes                       
----                 0                     ----            arithmeticExpression no    expPrime            
----                 0                     ----            assignmentStmt       no    arithmeticExpression
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            arithmeticExpression no    term                
----                 36    TK_NUM          1               var                  yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
<---                 36    TK_ASSIGNOP     ----            assignmentStmt       yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            assignmentStmt       no    singleOrRecId       
b5                   36    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0     EPSILON         ----            declarations         yes                       
----                 0                     ----            declarations         no    declarations        
----                 0                     ----            declarations         no    declarations        
;                    33    TK_SEM          ----            declaration          yes                       
----                 0                     ----            declarations         no    declaration         
----                 0     EPSILON         ----            global_or_not        yes                       
----                 0                     ----            declaration          no    global_or_not       
b5c6                 33    TK_ID           ----            declaration          yes                       
:                    33    TK_COLON        ----            declaration          yes                       
#marks               33    TK_RUID         ----            constructedDatatype  yes                       
----                 0                     ----            dataType             no    constructedDatatype 
record               33    TK_RECORD       ----            constructedDatatype  yes                       
----                 0                     ----            declaration          no    dataType            
type                 33    TK_TYPE         ----            declaration          yes                       
----                 0                     ----            declarations         no    declarations        
;                    32    TK_SEM          ----            declaration          yes                       
----                 0                     ----            declarations         no    declaration         
----                 0     EPSILON         ----            global_or_not        yes                       
----                 0                     ----            declaration          no    global_or_not       
d5cb34567            32    TK_ID           ----            declaration          yes                       
:                    32    TK_COLON        ----            declaration          yes                       
int                  32    TK_INT          ----            primitiveDatatype    yes                       
----                 0                     ----            dataType             no    primitiveDatatype   
----                 0                     ----            declaration          no    dataType            
type                 32    TK_TYPE         ----            declaration          yes                       
----                 0                     ----            declarations         no    declarations        
;                    31    TK_SEM          ----            declaration          yes                       
----                 0                     ----            declarations         no    declaration         
----                 0     EPSILON         ----            global_or_not        yes                       
----                 0                     ----            declaration          no    global_or_not       
b5                   31    TK_ID           ----            declaration          yes                       
:                    31    TK_COLON        ----            declaration          yes                       
int                  31    TK_INT          ----            primitiveDatatype    yes                       
